Created on 07-08-2020,https://www.CryptoDataDownload.com,,,,,,
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-07-08,BTCUSD,9253.94,9475,9232.2,9441.78,5139.92,47892932.02
2020-07-07,BTCUSD,9343.31,9379.34,9201.57,9253.94,6308.48,58457718.32
2020-07-06,BTCUSD,9074.39,9375.9,9061.59,9343.31,9690.94,89569894.89
2020-07-05,BTCUSD,9138.51,9145,8905.84,9074.39,4406.27,39857635.7
2020-07-04,BTCUSD,9063.87,9195.84,9039.84,9138.51,5221.84,47588256.21
2020-07-03,BTCUSD,9091.53,9126.12,9036.74,9063.87,7724.18,70236742.91
2020-07-02,BTCUSD,9239.97,9265,8938,9091.53,10045.81,91638945.8
2020-07-01,BTCUSD,9136.2,9297.2,9088,9239.97,7464.27,68676383.36
2020-06-30,BTCUSD,9184.45,9201,9059.6,9136.2,6820.72,62397803.71
2020-06-29,BTCUSD,9113.24,9236.75,9014,9184.45,8623.57,78612797.67
2020-06-28,BTCUSD,9002.46,9189,8931.77,9113.24,5352.3,48526621.38
2020-06-27,BTCUSD,9155.42,9188.14,8817.45,9002.46,7487.48,67691131.44
2020-06-26,BTCUSD,9243.51,9291.73,9027.62,9155.42,10492.6,96133711.71
2020-06-25,BTCUSD,9285.91,9335,8979.07,9243.51,12347.18,113480208.92
2020-06-24,BTCUSD,9623.56,9663.38,9195,9285.91,12155.76,113854916.84
2020-06-23,BTCUSD,9690.74,9724.53,9572.22,9623.56,7923.35,76387342.49
2020-06-22,BTCUSD,9286.14,9792,9267.58,9690.74,10922.76,104208895.45
2020-06-21,BTCUSD,9355.74,9419.35,9273,9286.14,3015.88,28172963.65
2020-06-20,BTCUSD,9301.91,9391.71,9161,9355.74,6283.23,58400347.78
2020-06-19,BTCUSD,9376.14,9430,9229,9301.91,7672.35,71547516.66
2020-06-18,BTCUSD,9457.51,9482.66,9267.18,9376.14,6269.21,58905540.06
2020-06-17,BTCUSD,9526.25,9558.48,9227.03,9457.51,8715.05,82062679.05
2020-06-16,BTCUSD,9427.86,9592.04,9381,9526.25,10088.17,95804598.97
2020-06-15,BTCUSD,9325,9499,8895.01,9427.86,17273.22,159082110.58
2020-06-14,BTCUSD,9475,9481,9240,9325,4620.46,43334280.26
2020-06-13,BTCUSD,9464.17,9494.45,9346,9475,4531.84,42716808.37
2020-06-12,BTCUSD,9268.16,9552.87,9227,9464.17,10875.37,102302070.36
